"activity_main","","","","","","","","","","","","","","","","活动开启时不允许调时间","","","","","",""
"id","type","manifest","atlas","icon","name","description_big","description","activity_center_tag_type","is_list","is_msg_box","msg_box_rank","date_type","start_week","start_day","start_time","end_day","interval","priority","display_date","scope_type","iap_package_group_id",""
"activity_short_term_goal_main_4","short_term_goal","Activity","Activity","icon_event_short_goal_hero","event_glory_past_get_points_task_name_9","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","0","0","2","9999","7","","2","3","30600","0","1","",""
"activity_short_term_goal_main_5","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_4","event_glory_past_get_points_task_description_4","event_glory_past_get_points_task_description_4","activity_center_tag_hot","1","0","0","2","9999","7","","2","3","30600","0","1","",""
"gvg_battle_1_3","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","1","","9999","","4","9999","10100","1","1","",""
"activity_score_11","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","9999","7","","5","0","10400","14","1","iap_package_goldevent_group",""
"battle_pass_1_1","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","99999","2","","16","99999","30700","1","1","",""
"activity_short_term_goal_main_8","short_term_goal","Activity","Activity","icon_event_short_goal_train","event_glory_past_get_points_task_name_11","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","1","1","2","9999","7","","2","0","30600","0","1","",""
"activity_short_term_goal_main_13","short_term_goal","Activity","Activity","icon_event_short_goal_hero","event_glory_past_get_points_task_name_9","event_glory_past_get_points_task_description_7","event_glory_past_get_points_task_description_7","activity_center_tag_hot","1","1","1","2","9999","7","","2","0","30600","0","1","",""
"activity_short_term_goal_main_14","short_term_goal","Activity","Activity","icon_event_short_goal_equip","event_glory_past_get_points_task_name_10","event_glory_past_get_points_task_description_9","event_glory_past_get_points_task_description_9","activity_center_tag_hot","1","1","1","2","9999","7","","2","0","30600","0","1","",""
"alliance_arms_race_1","alliance_arms_race","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","2","9999","6","","6","9999","10200","1","1","",""
"alliance_arms_race_2","alliance_arms_race","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","2","9999","2","","6","9999","10200","1","1","",""
"alliance_arms_race_3","alliance_arms_race","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","2","9999","2","","6","9999","10200","1","1","",""
"alliance_arms_race_4","alliance_arms_race","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","2","9999","2","","6","9999","10200","1","1","",""
"ava_battle","ava_battle","Activity","Activity","icon_event_ava","ava_event_name","ava_event_description","ava_event_window_description","activity_center_tag_race","1","1","1","4","","8","","9","5","10000","0","1","iap_package_ava","水源"
"big_king","big_king","Activity","Activity","icon_event_state_of_center_bigking","kingbattle_activity_center_title","kingbattle_activity_center_des","big_king_event_window_description","activity_center_tag_race","1","1","1","4","","38","10:00:00","1","13","10000","13","1","","大王战"
"state_cross","state_cross","Activity","Activity","icon_event_state_cross","state_cross_activity_name","state_cross_activity_des","state_cross_event_window_description","activity_center_tag_race","1","1","1","4","","40","","14","0","10000","0","1","iap_package_state_cross","跨服王战"
"borderland","borderland","MainViewCom","MainViewCom","icon_function_borderland","event_borderland_title","event_borderland_description","event_borderland_description","activity_center_tag_race","1","0","0","4","","9999","","2","12","10010","0","1","","无主之地"
"gvg_battle_1_1","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","1","","6","","4","9999","10100","1","1","","小王战第1次"
"gvg_battle_1_2","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","1","","14","","4","9999","10100","1","1","","小王战第2次"
"gvg_battle_1","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","1","","22","","4","9999","10100","1","1","","小王战第3次"
"gvg_battle_2","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","1","","29","","4","9999","10100","1","1","","小王战第4次"
"gvg_battle_3","gvg_battle","Activity","Activity","icon_event_underground_base","id_facility_event_assault_name_1","id_facility_assault_description_short_text","id_facility_event_description_1","activity_center_tag_race","1","1","1","2","5","4","","4","0","10100","1","1","","小王战第5次(循环)"
"alliance_arms_race_5","alliance_arms_race_2","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","2","1","6","","6","9999","10300","1","1","","第一次军备赛(本服匹配)"
"alliance_arms_race_6","alliance_arms_race_2","Activity","Activity","icon_event_alliance_task","event_alliance_competition_name_list_lower_case","event_alliance_competition_short_description","event_alliance_competition_short_description","activity_center_tag_race","1","1","1","4","","16","","6","8","10300","1","1","","用来所有服对齐的军备赛"
"activity_score_9","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","1","","7","","5","9999","10400","1","1","iap_package_goldevent_group","建造 抽卡 训练 打怪 战力"
"activity_score_10","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","3","1","","5","9999","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_honor_buildings_activity_new","建造 轮盘 训练 战力 装备"
"activity_score_12","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","5","1","","5","9999","10400","1","1","iap_package_goldevent_group","建造加速 轮盘 训练 采集 战力"
"activity_score_13","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","7","1","","6","9999","10400","1","1","iap_package_goldevent_group","建造加速 轮盘 训练 采集 战力 英雄"
"activity_score_14","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","9","1","","7","9999","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_honor_buildings_activity_new","战力 轮盘 训练 采集 战力 装备 英雄"
"activity_score_15","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","99999","1","","6","9999","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_honor_buildings_activity_new","建造加速 轮盘 训练 采集 战力 装备"
"activity_score_18","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","11","1","","7","1","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_gem_goldevent_1,iap_package_honor_buildings_activity_new","加速 轮盘 训练 组件 战力 装备 英雄"
"activity_score_22","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","11","1","","7","1","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_gem_goldevent_1,iap_package_honor_buildings_activity_new","加速 轮盘 训练 组件 战力 装备 英雄"
"activity_score_23","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","11","1","","7","1","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_gem_goldevent_1,iap_package_honor_buildings_activity_new","加速 轮盘 训练 组件 战力 装备 英雄"
"activity_super_exchange_musiclili","super_exchange","Activity","Activity","icon_event_musiclili_exchange","event_activity_month_exchange_musiclili_title","event_activity_month_exchange_musiclili_des1","event_activity_month_exchange_musiclili_des1","activity_center_tag_festival","1","1","1","3","","99999","","8","9999","20100","2","1","iap_package_musiclili,iap_package_musiclili_equipment_1,iap_package_musiclili_equipment_2,iap_package_musiclili_equipment_gem_normal,iap_package_musiclili_equipment_gem_rare,iap_package_musiclili_honor_buildings_coin","莉莉丝演唱会"
"activity_month_view_thanksgiving","month_view","Activity","Activity","icon_event_thanksgiving2020_activity_overview","event_activity_month_view_thanksgiving_title","event_activity_month_view_thanksgiving_des","event_activity_month_view_thanksgiving_des1","activity_center_tag_festival","1","1","1","3","","99999","","8","9999","20100","2","1","iap_package_thanksgiving2020,iap_package_thanksgiving2020_equipment_1,iap_package_thanksgiving2020_equipment_2,iap_package_thanksgiving2020_equipment_gem_normal,iap_package_thanksgiving2020_equipment_gem_rare","感恩节活动"
"activity_month_view_christmas","month_view","Activity","Activity","icon_event_christmas2020_activity_overview","event_activity_month_view_christmas_title","event_activity_month_view_christmas_des","event_activity_month_view_christmas_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20100","2","1","iap_package_christmas2020,iap_package_christmas2020_equipment_1,iap_package_christmas2020_equipment_2,iap_package_christmas2020_equipment_gem_normal,iap_package_christmas2020_equipment_gem_rare","圣诞节活动"
"activity_month_short_term_goal_thanksgiving","short_term_goal","Activity","Activity","icon_event_thanksgiving2020_activity_battlepass","event_activity_month_short_term_goal_thanksgiving_title","event_activity_month_short_term_goal_thanksgiving_des","event_activity_month_short_term_goal_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","8","9999","20200","0","1","","感恩节活动"
"activity_short_term_goal_main_28","short_term_goal","Activity","Activity","icon_event_halloween_activity","event_halloween_event_name","event_halloween_event_description","event_halloween_event_description1","activity_center_tag_festival","1","1","1","3","9999","7","","7","9999","20200","1","1","iap_package_halloween_pumpkin,iap_package_halloween_equipment_1,iap_package_halloween_equipment_2","万圣节活动"
"activity_short_term_goal_main_30","short_term_goal","Activity","Activity","icon_event_food_festival_activity","event_food_festival_event_name","event_food_festival_event_description","event_food_festival_event_description1","activity_center_tag_festival","1","1","1","3","9999","7","","7","9999","20200","1","1","iap_package_food_festival,iap_package_food_festival_equipment_1,iap_package_food_festival_equipment_2,iap_package_food_festival_equipment_gem_normal,iap_package_food_festival_equipment_gem_rare","美食节活动"
"activity_month_battle_pass_main_1","month_battle_pass","Activity","Activity","icon_event_thanksgiving2020_activity_battlepass","event_activity_month_short_term_goal_thanksgiving_title","event_activity_month_short_term_goal_thanksgiving_des","event_activity_month_short_term_goal_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","8","9999","20200","0","1","","测试活动"
"activity_month_short_term_goal_winter2020","short_term_goal","Activity","Activity","icon_event_winter2020_short_goal","event_activity_month_short_term_goal_winter_title","event_activity_month_short_term_goal_winter_des","event_activity_month_short_term_goal_winter_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","1","1","iap_package_winter2020,iap_package_winter2020_equipment_1,iap_package_winter2020_equipment_2,iap_package_winter2020_equipment_gem_normal,iap_package_winter2020_equipment_gem_rare","冰雪节活动"
"activity_month_battlepass_christmas","month_battle_pass","Activity","Activity","icon_event_christmas2020_activity_battlepass","event_activity_month_battlepass_christmas_title","event_activity_month_battlepass_christmas_des","event_activity_month_battlepass_christmas_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20200","0","1","","圣诞节活动"
"activity_month_short_term_goal_newyear2020","short_term_goal","Activity","Activity","icon_event_newyear2020_short_goat","event_activity_month_short_term_goal_newyear_title","event_activity_month_short_term_goal_newyear_des","event_activity_month_short_term_goal_newyear_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","1","1","iap_package_newyear2020,iap_package_newyear2020_equipment_1,iap_package_newyear2020_equipment_2,iap_package_newyear2020_equipment_gem_normal,iap_package_newyear2020_equipment_gem_rare,iap_package_newyear2020_honor_buildings_coin",""
"activity_score_16","score_active","Activity","Activity","icon_event_thanksgiving2020_activity_cash","event_activity_month_score_thanksgiving_title","event_activity_month_score_thanksgiving_des","event_activity_month_score_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","感恩节活动"
"activity_score_17","score_active","Activity","Activity","icon_event_thanksgiving2020_activity_cash","event_activity_month_score_thanksgiving_title","event_activity_month_score_thanksgiving_des","event_activity_month_score_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","感恩节活动"
"activity_score_19","score_active","Activity","Activity","icon_event_christmas2020_activity_cash","event_activity_month_score_christmas_title","event_activity_month_score_christmas_des","event_activity_month_score_christmas_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","圣诞节活动"
"activity_month_drop_thanksgiving","month_drop","Activity","Activity","icon_event_thanksgiving2020_activity_seven","event_activity_month_drop_thanksgiving_title","event_activity_month_drop_thanksgiving_des","event_activity_month_drop_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","8","9999","20400","0","1","","感恩节活动"
"activity_month_drop_winter2020","month_drop","Activity","Activity","icon_event_winter2020_point","event_activity_month_drop_winter_title","event_activity_month_drop_winter_des","event_activity_month_drop_winter_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","冰雪节活动"
"activity_month_drop_christmas","month_drop","Activity","Activity","icon_event_christmas2020_activity_point","event_activity_month_drop_christmas_title","event_activity_month_drop_christmas_des","event_activity_month_drop_christmas_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","圣诞节活动"
"activity_month_drop_newyear2020","month_drop","Activity","Activity","icon_event_newyear2020_point","event_activity_month_drop_newyear_title","event_activity_month_drop_newyear_des","event_activity_month_drop_newyear_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","",""
"activity_month_drop_musiclili","month_drop","Activity","Activity","icon_event_musicilili_point","event_activity_month_drop_musiclili_title","event_activity_month_drop_musiclili_des","event_activity_month_drop_musiclili_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","莉莉丝演唱会"
"activity_month_boss_thanksgiving","month_boss","Activity","Activity","icon_event_thanksgiving2020_activity_boss","event_activity_month_boss_thanksgiving_title","event_activity_month_boss_thanksgiving_des","event_activity_month_boss_thanksgiving_des1","activity_center_tag_festival","1","0","99","3","","99999","","4","9999","20500","0","1","","感恩节活动"
"activity_month_boss_christmas","month_boss","Activity","Activity","icon_event_christmas2020_activity_boss","event_activity_month_boss_christmas_title","event_activity_month_boss_christmas_des","event_activity_month_boss_christmas_des","activity_center_tag_festival","1","0","99","3","","99999","","3","9999","20500","0","1","","圣诞节活动"
"activity_month_top_up_thanksgiving","month_top_up","Activity","Activity","","","","","activity_center_tag_festival","0","0","99","3","","99999","","8","9999","20600","0","1","","感恩节活动"
"activity_month_top_up_christmas","month_top_up","Activity","Activity","","","","","activity_center_tag_festival","0","0","99","3","","99999","","7","9999","20600","0","1","","圣诞节活动"
"activity_month_view_foodcrisis2021","month_view","Activity","Activity","icon_event_foodcrisis2021_activity_overview","event_activity_month_view_foodcrisis2021_title","event_activity_month_view_foodcrisis2021_des","event_activity_month_view_foodcrisis2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20100","2","1","iap_package_foodcrisis2021,iap_package_foodcrisis2021_equipment_1,iap_package_foodcrisis2021_equipment_2,iap_package_foodcrisis2021_equipment_gem_normal,iap_package_foodcrisis2021_equipment_gem_rare,iap_package_foodcrisis2021_honor_buildings_coin","粮食危机活动"
"activity_month_battlepass_foodcrisis2021","month_battle_pass","Activity","Activity","icon_event_foodcrisis2021_activity_battlepass","event_activity_month_battlepass_foodcrisis2021_title","event_activity_month_battlepass_foodcrisis2021_des","event_activity_month_battlepass_foodcrisis2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20200","0","1","","粮食危机活动"
"activity_score_20","score_active","Activity","Activity","icon_event_foodcrisis2021_activity_cash","event_activity_month_score_foodcrisis2021_title","event_activity_month_score_foodcrisis2021_des","event_activity_month_score_foodcrisis2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","粮食危机活动"
"activity_month_drop_foodcrisis2021","month_drop","Activity","Activity","icon_event_foodcrisis2021_activity_point","event_activity_month_drop_foodcrisis2021_title","event_activity_month_drop_foodcrisis2021_des","event_activity_month_drop_foodcrisis2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","粮食危机活动"
"activity_month_boss_foodcrisis2021","month_boss","Activity","Activity","icon_event_foodcrisis2021_activity_boss","event_activity_month_boss_foodcrisis2021_title","event_activity_month_boss_foodcrisis2021_des","event_activity_month_boss_foodcrisis2021_des","activity_center_tag_festival","1","0","99","3","","99999","","3","9999","20500","0","1","","粮食危机活动"
"activity_month_top_up_foodcrisis2021","month_top_up","Activity","Activity","","","","","activity_center_tag_festival","0","0","99","3","","99999","","7","9999","20600","0","1","","粮食危机活动"
"activity_super_exchange1","super_exchange","Activity","Activity","icon_super_change_bear_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange2","超级兑换-熊女"
"activity_super_exchange2","super_exchange","Activity","Activity","icon_super_change_bear_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange2","超级兑换-熊女"
"activity_super_exchange3","super_exchange","Activity","Activity","icon_super_change_bear_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange2","超级兑换-熊女"
"activity_super_exchange4","super_exchange","Activity","Activity","icon_super_change_hero_29_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_hero_29","超级兑换-轮椅"
"activity_super_exchange5","super_exchange","Activity","Activity","icon_super_change_hero_29_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_hero_29","超级兑换-轮椅"
"activity_super_exchange6","super_exchange","Activity","Activity","icon_super_change_hero_29_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_hero_29","超级兑换-轮椅"
"activity_super_exchange_bision","super_exchange","Activity","Activity","icon_super_change_bag_bision_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_bision","超级兑换"
"activity_super_exchange_wolverine","super_exchange","Activity","Activity","icon_super_change_bag_wolverine_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_wolverine","超级兑换-狼獾"
"activity_super_exchange_wolverine_1","super_exchange","Activity","Activity","icon_super_change_bag_wolverine_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_wolverine","超级兑换-狼獾"
"activity_super_exchange_wolverine_2","super_exchange","Activity","Activity","icon_super_change_bag_wolverine_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_wolverine","超级兑换-狼獾"
"activity_super_exchange_jaguar_1","super_exchange","Activity","Activity","icon_super_change_bag_jaguar_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_jaguar","超级兑换-美洲豹"
"activity_super_exchange_jaguar_2","super_exchange","Activity","Activity","icon_super_change_bag_jaguar_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_jaguar","超级兑换-美洲豹"
"activity_super_exchange_jaguar_3","super_exchange","Activity","Activity","icon_super_change_bag_jaguar_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_jaguar","超级兑换-美洲豹"
"activity_super_exchange_cobra_1","super_exchange","Activity","Activity","icon_super_change_bag_cobra_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_cobra","超级兑换-眼镜蛇"
"activity_super_exchange_cobra_2","super_exchange","Activity","Activity","icon_super_change_bag_cobra_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_cobra","超级兑换-眼镜蛇"
"activity_super_exchange_cobra_3","super_exchange","Activity","Activity","icon_super_change_bag_cobra_enter","id_super_change_hero_bag_title","id_super_change_hero_bag_synopsis","id_super_change_hero_bag_synopsis","activity_center_tag_hot","1","0","1","2","9","7","","3","1","30000","0","1","iap_package_super_exchange_cobra","超级兑换-眼镜蛇"
"activity_roulette_1","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","1","","8","","3","9999","30100","1","1","iap_package_roulette_group_1_1,iap_package_roulette_group_1_2,iap_package_roulette_group_1_3,iap_package_roulette_group_1_4,iap_package_roulette_group_1_5,iap_package_roulette_group_1_6","轮盘1"
"activity_roulette_2","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","3","2","","3","9999","30100","1","1","iap_package_roulette_group_2_1,iap_package_roulette_group_2_2,iap_package_roulette_group_2_3,iap_package_roulette_group_2_4,iap_package_roulette_group_2_5,iap_package_roulette_group_2_6","轮盘2"
"activity_roulette_3","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","5","2","","3","9999","30100","1","1","iap_package_roulette_group_3_1,iap_package_roulette_group_3_2,iap_package_roulette_group_3_3,iap_package_roulette_group_3_4,iap_package_roulette_group_3_5,iap_package_roulette_group_3_6","轮盘3"
"activity_roulette_4","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","7","2","","3","9999","30100","1","1","iap_package_roulette_group_4_1,iap_package_roulette_group_4_2,iap_package_roulette_group_4_3,iap_package_roulette_group_4_4,iap_package_roulette_group_4_5,iap_package_roulette_group_4_6","轮盘4"
"activity_roulette_5","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","9","2","","3","9999","30100","1","1","iap_package_roulette_group_5_1,iap_package_roulette_group_5_2,iap_package_roulette_group_5_3,iap_package_roulette_group_5_4,iap_package_roulette_group_5_5,iap_package_roulette_group_5_6","轮盘5"
